CD_CID,DS_CID,DT_EXCL,ID_ORIGEM
Y850,SEQUELAS DE UM ACIDENTE DE VEICULO A MOTOR                                                          ,,
Y859,SEQUELAS DE OUTROS ACIDENTES DE TRANSPORTE E DOS NAO ESPECIFICADOS                                  ,,
Y86,SEQUELAS DE OUTROS ACIDENTES E SUBTÍTULOS                                                           ,,
W808,INALACAO E INGESTAO DE OUTROS OBJETOS CAUSANDO OBSTRUCAO DO TRATO RESPIRATORIO - OUTROS LOCAIS ESPEC,,
W809,INALACAO E INGESTAO DE OUTROS OBJETOS CAUSANDO OBSTRUCAO DO TRATO RESPIRATORIO - LOCAL NAO ESPECIFIC,,
W81,CONFINADO OU APRISIONADO EM UM AMBIENTE POBRE EM OXIGENIO E SUBTÍTULOS                              ,,
Y062,NEGLIGENCIA E ABANDONO POR CONHECIDO OU AMIGO                                                       ,,
Y068,NEGLIGENCIA E ABANDONO POR OUTRA PESSOA ESPECIFICADA                                                ,,
Y069,NEGLIGENCIA E ABANDONO POR PESSOA NAO ESPECIFICADA                                                  ,,
Y07,OUTRAS SINDROMES DE MAUS TRATOS E SUBTÍTULOS                                                        ,,
Y070,OUTRAS SINDROMES DE MAUS TRATOS PELO ESPOSO OU COMPANHEIRO                                          ,,
Y071,OUTRAS SINDROMES DE MAUS TRATOS PELOS PAIS                                                          ,,
Y072,OUTRAS SINDROMES DE MAUS TRATOS POR CONHECIDO OU AMIGO                                              ,,
Y073,OUTRAS SINDROMES DE MAUS TRATOS POR AUTORIDADES OFICIAIS                                            ,,
Y078,OUTRAS SINDROMES DE MAUS TRATOS POR OUTRA PESSOA ESPECIFICADA                                       ,,
Y079,OUTRAS SINDROMES DE MAUS TRATOS POR PESSOA NAO ESPECIFICADA                                         ,,
Y08,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS E SUBTÍTULOS                                                ,,
Y080,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - RESIDENCIA                                                ,,
Y081,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - HABITACAO COLETIVA                                        ,,
Y082,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - ESCOLAS, OUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBL,,
Y083,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - AREA PARA A PRATICA DE ESPORTES E ATLETISMO               ,,
Y084,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - RUA E ESTRADA                                             ,,
Y085,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - AREAS DE COMERCIO E DE SERVICOS                           ,,
Y086,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - AREAS INDUSTRIAIS E EM CONSTRUCAO                         ,,
Y087,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - FAZENDA                                                   ,,
Y088,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - OUTROS LOCAIS ESPECIFICADOS                               ,,
Y089,AGRESSAO POR OUTROS MEIOS ESPECIFICADOS - LOCAL NAO ESPECIFICADO                                    ,,
Y09,AGRESSAO POR MEIOS NAO ESPECIFICADOS E SUBTÍTULOS                                                   ,,
Y090,AGRESSAO POR MEIOS NAO ESPECIFICADOS - RESIDENCIA                                                   ,,
Y091,AGRESSAO POR MEIOS NAO ESPECIFICADOS - HABITACAO COLETIVA                                           ,,
Y092,AGRESSAO POR MEIOS NAO ESPECIFICADOS - ESCOLAS, OUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA,,
Y093,AGRESSAO POR MEIOS NAO ESPECIFICADOS - AREA PARA A PRATICA DE ESPORTES E ATLETISMO                  ,,
Y094,AGRESSAO POR MEIOS NAO ESPECIFICADOS - RUA E ESTRADA                                                ,,
Y095,AGRESSAO POR MEIOS NAO ESPECIFICADOS - AREAS DE COMERCIO E DE SERVICOS                              ,,
Y096,AGRESSAO POR MEIOS NAO ESPECIFICADOS - AREAS INDUSTRIAIS E EM CONSTRUCAO                            ,,
Y097,AGRESSAO POR MEIOS NAO ESPECIFICADOS - FAZENDA                                                      ,,
Y098,AGRESSAO POR MEIOS NAO ESPECIFICADOS - OUTROS LOCAIS ESPECIFICADOS                                  ,,
Y099,AGRESSAO POR MEIOS NAO ESPECIFICADOS - LOCAL NAO ESPECIFICADO                                       ,,
Y10,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y100,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y101,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y102,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y103,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y104,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y105,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y106,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y107,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
V962,ACIDENTE DE PLANADOR (NAO-MOTORIZADO) CAUSANDO TRAUMATISMO A OCUPANTE                               ,,
V968,OUTROS ACIDENTES DE AERONAVES NAO-MOTORIZADAS CAUSANDO TRAUMATISMO A OCUPANTE                       ,,
V969,ACIDENTE NAO ESPECIFICADO DE AERONAVE NAO-MOTORIZADA CAUSANDO TRAUMATISMO A OCUPANTE                ,,
V97,OUTROS ACIDENTES ESPECIFICADOS DE TRANSPORTE AEREO E SUBTÍTULOS                                     ,,
R162,HEPATOMEGALIA COM ESPLENOMEGALIA NAO CLASSIFICADA EM OUTRA PARTE                                    ,,
R17,ICTERICIA NAO ESPECIFICADA E SUBTÍTULOS                                                             ,,
R18,ASCITE E SUBTÍTULOS                                                                                 ,,
R19,OUTROS SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME E SUBTÍTULOS                   ,,
R190,MASSA, TUMORACAO OU TUMEFACAO INTRA-ABDOMINAL E PELVICA                                             ,,
R191,RUIDOS HIDROAEREOS ANORMAIS                                                                         ,,
R192,PERISTALTISMO VISIVEL                                                                               ,,
R193,RIGIDEZ ABDOMINAL                                                                                   ,,
R194,ALTERACAO DO HABITO INTESTINAL                                                                      ,,
R195,OUTRAS ANORMALIDADES FECAIS                                                                         ,,
R196,HALITOSE                                                                                            ,,
R198,OUTROS SINTOMAS E SINAIS ESPECIFICADOS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME                  ,,
R20,DISTURBIOS DA SENSIBILIDADE CUTANEA E SUBTÍTULOS                                                    ,,
R200,ANESTESIA CUTANEA                                                                                   ,,
R201,HIPOESTESIA CUTANEA                                                                                 ,,
R202,PARESTESIAS CUTANEAS                                                                                ,,
R203,HIPERESTESIA                                                                                        ,,
R208,OUTROS DISTURBIOS E OS NAO ESPECIFICADAS DA SENSIBILIDADE CUTANEA                                   ,,
R21,ERITEMA E OUTRAS ERUPCOES CUTANEAS NAO ESPECIFICADAS E SUBTÍTULOS                                   ,,
R22,TUMEFACAO, MASSA OU TUMORACAO LOCALIZADAS DA PELE E DO TECIDO SUBCUTANEO E SUBTÍTULOS               ,,
R220,TUMEFACAO, MASSA OU TUMORACAO LOCALIZADAS DA CABECA                                                 ,,
R221,TUMEFACAO, MASSA OU TUMORACAO LOCALIZADAS DO PESCOCO                                                ,,
R222,TUMEFACAO, MASSA OU TUMORACAO LOCALIZADAS DO TRONCO                                                 ,,
R223,TUMEFACAO, MASSA OU TUMORACAO LOCALIZADAS DE MEMBRO SUPERIOR                                        ,,
R224,TUMEFACAO, MASSA OU TUMORACAO LOCALIZADAS NO MEMBRO INFERIOR                                        ,,
R227,TUMEFACAO, MASSA OU TUMORACAO LOCALIZADAS DE MULTIPLAS LOCALIZACOES                                 ,,
R229,TUMEFACAO, MASSA OU TUMORACAO NAO ESPECIFICADAS, LOCALIZADAS                                        ,,
R23,OUTRAS ALTERACOES CUTANEAS E SUBTÍTULOS                                                             ,,
R230,CIANOSE                                                                                             ,,
R231,PALIDEZ                                                                                             ,,
R232,RUBOR                                                                                               ,,
R233,EQUIMOSES ESPONTANEAS                                                                               ,,
R234,ALTERACOES NA TEXTURA DA PELE                                                                       ,,
R238,OUTRAS ALTERACOES DA PELE E AS NAO ESPECIFICADAS                                                    ,,
R25,MOVIMENTOS INVOLUNTARIOS ANORMAIS E SUBTÍTULOS                                                      ,,
R250,MOVIMENTOS ANORMAIS DA CABECA                                                                       ,,
R251,TREMOR NAO ESPECIFICADO                                                                             ,,
R252,CAIBRAS E ESPASMOS                                                                                  ,,
R253,FASCICULACAO                                                                                        ,,
R258,OUTROS MOVIMENTOS INVOLUNTARIOS ANORMAIS E OS NAO ESPECIFICADOS                                     ,,
R26,ANORMALIDADES DA MARCHA E DA MOBILIDADE E SUBTÍTULOS                                                ,,
R260,MARCHA ATAXICA                                                                                      ,,
R261,MARCHA PARALITICA                                                                                   ,,
R262,DIFICULDADE PARA ANDAR NAO CLASSIFICADA EM OUTRA PARTE                                              ,,
R268,OUTRAS ANORMALIDADES DA MARCHA E DA MOBILIDADE E AS NAO ESPECIFICADAS                               ,,
R27,OUTROS DISTURBIOS DA COORDENACAO E SUBTÍTULOS                                                       ,,
R270,ATAXIA NAO ESPECIFICADA                                                                             ,,
R278,OUTROS DISTURBIOS DA COORDENACAO E OS NAO ESPECIFICADOS                                             ,,
R29,OUTROS SINTOMAS E SINAIS RELATIVOS AOS SISTEMAS NERVOSO E OSTEOMUSCULAR E SUBTÍTULOS                ,,
R290,TETANIA                                                                                             ,,
R291,MENINGISMO                                                                                          ,,
R292,REFLEXOS ANORMAIS                                                                                   ,,
R293,POSTURA ANORMAL                                                                                     ,,
R294,QUADRIL ESTALANTE                                                                                   ,,
R298,OUTROS SINTOMAS E SINAIS RELATIVOS AOS SISTEMAS NERVOSO E OSTEOMUSCULAR E OS NAO ESPECIFICADOS      ,,
R30,DOR ASSOCIADA A MICCAO E SUBTÍTULOS                                                                 ,,
R300,DISURIA                                                                                             ,,
R301,TENESMO VESICAL                                                                                     ,,
R309,MICCAO DOLOROSA, NAO ESPECIFICADA                                                                   ,,
R31,HEMATURIA NAO ESPECIFICADA E SUBTÍTULOS                                                             ,,
R32,INCONTINENCIA URINARIA NAO ESPECIFICADA E SUBTÍTULOS                                                ,,
T173,CORPO ESTRANHO NA LARINGE                                                                           ,,
T174,CORPO ESTRANHO NA TRAQUEIA                                                                          ,,
T175,CORPO ESTRANHO NO BRONQUIO                                                                          ,,
T178,CORPO ESTRANHO EM OUTRAS PARTES E PARTES MULTIPLAS DO TRATO RESPIRATORIO                            ,,
T179,CORPO ESTRANHO NO TRATO RESPIRATORIO, PARTE NAO ESPECIFICADA                                        ,,
T18,CORPO ESTRANHO NO APARELHO DIGESTIVO E SUBTÍTULOS                                                   ,,
T180,CORPO ESTRANHO NA BOCA                                                                              ,,
T181,CORPO ESTRANHO NO ESOFAGO                                                                           ,,
T182,CORPO ESTRANHO NO ESTOMAGO                                                                          ,,
T183,CORPO ESTRANHO NO INTESTINO DELGADO                                                                 ,,
T184,CORPO ESTRANHO NO COLON                                                                             ,,
T185,CORPO ESTRANHO NO ANUS E RETO                                                                       ,,
T188,CORPO ESTRANHO EM OUTRAS PARTES E PARTES MULTIPLAS DO APARELHO DIGESTIVO                            ,,
T189,CORPO ESTRANHO EM PARTE NAO ESPECIFICADA DO APARELHO DIGESTIVO                                      ,,
T19,CORPO ESTRANHO NO TRATO GENITURINARIO E SUBTÍTULOS                                                  ,,
T190,CORPO ESTRANHO NA URETRA                                                                            ,,
T191,CORPO ESTRANHO NA BEXIGA                                                                            ,,
T192,CORPO ESTRANHO NA VULVA E VAGINA                                                                    ,,
T193,CORPO ESTRANHO NO UTERO [QUALQUER PARTE]                                                            ,,
T198,CORPO ESTRANHO EM OUTRAS PARTES E PARTES MULTIPLAS DO TRATO GENITURINARIO                           ,,
T199,CORPO ESTRANHO NO TRATO GENITURINARIO, PARTE NAO ESPECIFICADA                                       ,,
T20,QUEIMADURA E CORROSAO DA CABECA E PESCOCO E SUBTÍTULOS                                              ,,
T200,QUEIMADURA DA CABECA E DO PESCOCO, SEM ESPECIFICACAO DE GRAU,,
T201,QUEIMADURA DE PRIMEIRO GRAU DA CABECA E DO PESCOCO                                                  ,,
T202,QUEIMADURA DE SEGUNDO GRAU DA CABECA E DO PESCOCO                                                   ,,
T203,QUEIMADURA DE TERCEIRO GRAU DA CABECA E DO PESCOCO                                                  ,,
T204,CORROSAO DA CABECA E DO PESCOCO, GRAU NAO ESPECIFICADO                                              ,,
T205,CORROSAO DE PRIMEIRO GRAU DA CABECA E DO PESCOCO                                                    ,,
T206,CORROSAO DE SEGUNDO GRAU DA CABECA E DO PESCOCO                                                     ,,
T207,CORROSAO DE TERCEIRO GRAU DA CABECA E DO PESCOCO                                                    ,,
T21,QUEIMADURA E CORROSAO DO TRONCO E SUBTÍTULOS                                                        ,,
V84,OCUPANTE DE UM VEICULO ESPECIAL A MOTOR DE USO ESSENCIALMENTE AGRICOLA TRAUMATIZADO EM UM ACIDENTE D,,
V840,CONDUTOR [MOTORISTA] DE UM VEICULO ESPECIAL A MOTOR DE USO ESSENCIALMENTE AGRICOLA TRAUMATIZADO EM U,,
V841,PASSAGEIRO DE UM VEICULO ESPECIAL A MOTOR DE USO ESSENCIALMENTE AGRICOLA TRAUMATIZADO EM UM ACIDENTE,,
V842,PESSOA VIAJANDO NO EXTERIOR DE UM VEICULO ESPECIAL A MOTOR DE USO ESSENCIALMENTE AGRICOLA TRAUMATIZA,,
Q795,OUTRAS MALFORMACOES CONGENITAS DA PAREDE ABDOMINAL                                                  ,,
Q796,SINDROME DE EHLERS-DANLOS                                                                           ,,
Q798,OUTRAS MALFORMACOES CONGENITAS DO SISTEMA OSTEOMUSCULAR                                             ,,
Q799,MALFORMACAO CONGENITA NAO ESPECIFICADA DO SISTEMA OSTEOMUSCULAR                                     ,,
Q893,SITUS INVERSUS                                                                                      ,,
Q894,REUNIAO DE GEMEOS                                                                                   ,,
Q897,MALFORMACOES CONGENITAS MULTIPLAS, NAO CLASSIFICADAS EM OUTRA PARTE                                 ,,
Q898,OUTRAS MALFORMACOES CONGENITAS ESPECIFICADAS                                                        ,,
Q899,MALFORMACOES CONGENITAS NAO ESPECIFICADAS                                                           ,,
Q90,SINDROME DE DOWN E SUBTÍTULOS                                                                       ,,
Q900,TRISSOMIA 21, NAO-DISJUNCAO MEIOTICA                                                                ,,
Q901,TRISSOMIA 21, MOSAICISMO (NAO-DISJUNCAO MITOTICA)                                                   ,,
Q902,TRISSOMIA 21, TRANSLOCACAO                                                                          ,,
Q909,SINDROME DE DOWN NAO ESPECIFICADA                                                                   ,,
Q91,SINDROME DE EDWARDS E SINDROME DE PATAU E SUBTÍTULOS                                                ,,
Q910,TRISSOMIA 18, NAO-DISJUNCAO MEIOTICA                                                                ,,
Q911,TRISSOMIA 18, MOSAICISMO CROMOSSOMICO (NAO-DISJUNCAO MITOTICA)                                      ,,
Q912,TRISSOMIA 18, TRANSLOCACAO                                                                          ,,
Q913,SINDROME DE EDWARDS NAO ESPECIFICADA                                                                ,,
Q914,TRISSOMIA 13, NAO-DISJUNCAO MEIOTICA                                                                ,,
Q915,TRISSOMIA 13, MOSAICISMO CROMOSSOMICO (NAO-DISJUNCAO MITOTICA)                                      ,,
Q916,TRISSOMIA 13, TRANSLOCACAO                                                                          ,,
Q917,SINDROME DE PATAU NAO ESPECIFICADA                                                                  ,,
Q92,OUTRAS TRISSOMIAS E SUBTÍTULOS                                                                      ,,
Q920,TRISSOMIA DE UM CROMOSSOMO INTEIRO, NAO-DISJUNCAO MEIOTICA                                          ,,
Q921,TRISSOMIA DE UM CROMOSSOMO INTEIRO, MOSAICISMO CROMOSSOMICO (NAO-DISJUNCAO MITOTICA)                ,,
Q922,TRISSOMIA PARCIAL MAJOR                                                                             ,,
Q923,TRISSOMIA PARCIAL MINOR                                                                             ,,
Q924,DUPLICACOES VISTAS SOMENTE NA PROMETAFASE                                                           ,,
Q925,DUPLICACAO COM OUTROS REARRANJOS COMPLEXOS                                                          ,,
T225,CORROSAO DE PRIMEIRO GRAU DO OMBRO E DO MEMBRO SUPERIOR, EXCETO PUNHO E MAO                         ,,
T226,CORROSAO DE SEGUNDO GRAU DO OMBRO E DO MEMBRO SUPERIOR, EXCETO PUNHO E MAO                          ,,
T227,CORROSAO DE TERCEIRO GRAU DO OMBRO E DO MEMBRO SUPERIOR, EXCETO PUNHO E MAO                         ,,
T23,QUEIMADURA E CORROSAO DO PUNHO E DA MAO E SUBTÍTULOS                                                ,,
T230,QUEIMADURA DO PUNHO E DA MAO, GRAU NAO ESPECIFICADO                                                 ,,
T231,QUEIMADURA DE PRIMEIRO GRAU DO PUNHO E DA MAO                                                       ,,
T232,QUEIMADURA DE SEGUNDO GRAU DO PUNHO E DA MAO                                                        ,,
T233,QUEIMADURA DE TERCEIRO GRAU DO PUNHO E DA MAO                                                       ,,
T234,CORROSAO DO PUNHO E DA MAO, GRAU NAO ESPECIFICADO                                                   ,,
T235,CORROSAO DE PRIMEIRO GRAU DO PUNHO E DA MAO                                                         ,,
T236,CORROSAO DE SEGUNDO GRAU DO PUNHO E DA MAO                                                          ,,
T237,CORROSAO DE TERCEIRO GRAU DO PUNHO E DA MAO                                                         ,,
T24,QUEIMADURA E CORROSAO DO QUADRIL E MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE E SUBTÍTULOS           ,,
T240,QUEIMADURA DO QUADRIL E MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE, GRAU NAO ESPECIFICADO            ,,
T241,QUEIMADURA DE PRIMEIRO GRAU DO QUADRIL E DO MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE               ,,
T242,QUEIMADURA DE SEGUNDO GRAU DO QUADRIL E DO MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE                ,,
T243,QUEIMADURA DE TERCEIRO GRAU DO QUADRIL E DO MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE               ,,
T244,CORROSAO DO QUADRIL E DO MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE, GRAU NAO ESPECIFICADO           ,,
T245,CORROSAO DE PRIMEIRO GRAU DO QUADRIL E DO MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE                 ,,
T246,CORROSAO DE SEGUNDO GRAU DO QUADRIL E DO MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE                  ,,
T247,CORROSAO DE TERCEIRO GRAU DO QUADRIL E DO MEMBRO INFERIOR, EXCETO TORNOZELO E DO PE                 ,,
T25,QUEIMADURA E CORROSAO DO TORNOZELO E DO PE E SUBTÍTULOS                                             ,,
T250,QUEIMADURA DO TORNOZELO E DO PE, GRAU NAO ESPECIFICADO                                              ,,
T251,QUEIMADURA DE PRIMEIRO GRAU DO TORNOZELO E DO PE                                                    ,,
T252,QUEIMADURA DE SEGUNDO GRAU DO TORNOZELO E DO PE                                                     ,,
T253,QUEIMADURA DE TERCEIRO GRAU DO TORNOZELO E DO PE                                                    ,,
T254,CORROSAO DO TORNOZELO E DO PE, GRAU NAO ESPECIFICADO                                                ,,
T255,CORROSAO DE PRIMEIRO GRAU DO TORNOZELO E DO PE                                                      ,,
T256,CORROSAO DE SEGUNDO GRAU DO TORNOZELO E DO PE                                                       ,,
T257,CORROSAO DE TERCEIRO GRAU DO TORNOZELO E DO PE                                                      ,,
T26,QUEIMADURA E CORROSAO LIMITADAS AO OLHO E SEUS ANEXOS E SUBTÍTULOS                                  ,,
T260,QUEIMADURA DA PALPEBRA E DA REGIAO PERIOCULAR                                                       ,,
T261,QUEIMADURA DA CORNEA E DO SACO CONJUNTIVAL                                                          ,,
T262,QUEIMADURA COM RESULTANTE RUPTURA E DESTRUICAO DO GLOBO OCULAR                                      ,,
T263,QUEIMADURA DE OUTRAS PARTES DO OLHO E ANEXOS                                                        ,,
T264,QUEIMADURA DO OLHO E ANEXOS, PARTE NAO ESPECIFICADA                                                 ,,
T265,CORROSAO DA PALPEBRA E DA REGIAO PERIOCULAR                                                         ,,
T266,CORROSAO DA CORNEA E DO SACO CONJUNTIVAL                                                            ,,
T267,CORROSAO COM RESULTANTE RUPTURA E DESTRUICAO DO GLOBO OCULAR                                        ,,
T268,CORROSAO DE OUTRAS PARTES DO OLHO E ANEXOS                                                          ,,
T269,CORROSAO DO OLHO E ANEXOS, PARTE NAO ESPECIFICADA                                                   ,,
T27,QUEIMADURA E CORROSAO DO TRATO RESPIRATORIO E SUBTÍTULOS                                            ,,
T270,QUEIMADURA DA LARINGE E TRAQUEIA                                                                    ,,
T271,QUEIMADURA DA LARINGE, TRAQUEIA COM PULMAO                                                          ,,
T272,QUEIMADURA DE OUTRAS PARTES DO TRATO RESPIRATORIO                                                   ,,
T273,QUEIMADURA DO TRATO RESPIRATORIO, PARTE NAO ESPECIFICADA                                            ,,
T274,CORROSAO DA LARINGE E TRAQUEIA                                                                      ,,
T275,CORROSAO DA LARINGE, TRAQUEIA COM CORROSAO DE PULMAO                                                ,,
V903,ACIDENTE COM EMBARCACAO CAUSANDO AFOGAMENTO E SUBMERSAO - OUTRAS EMBARCACOES A MOTOR                ,,
V904,ACIDENTE COM EMBARCACAO CAUSANDO AFOGAMENTO E SUBMERSAO - BARCO A VELA                              ,,
V905,ACIDENTE COM EMBARCACAO CAUSANDO AFOGAMENTO E SUBMERSAO - CAIAQUE OU CANOA                          ,,
V906,ACIDENTE COM EMBARCACAO CAUSANDO AFOGAMENTO E SUBMERSAO - BOTE INFLAVEL (SEM MOTOR)                 ,,
Q97,OUTRAS ANOMALIAS DOS CROMOSSOMOS SEXUAIS, FENOTIPO FEMININO, NAO CLASSIFICADAS EM OUTRA PARTE E SUBT,,
Q970,CARIOTIPO 47, XXX                                                                                   ,,
Q971,MULHER COM MAIS DE TRES CROMOSSOMOS X                                                               ,,
Q972,MOSAICISMO CROMOSSOMICO, LINHAGENS COM DIVERSOS NUMEROS DE CROMOSSOMOS X                            ,,
Q973,MULHER COM CARIOTIPO 46, XY                                                                         ,,
Q978,OUTRAS ANOMALIAS ESPECIFICADAS DOS CROMOSSOMOS SEXUAIS, FENOTIPO FEMININO                           ,,
Q979,ANOMALIAS NAO ESPECIFICADAS DOS CROMOSSOMOS SEXUAIS, FENOTIPO FEMININO                              ,,
Q98,OUTRAS ANOMALIAS DOS CROMOSSOMOS SEXUAIS, FENOTIPO MASCULINO, NAO CLASSIFICADAS EM OUTRA PARTE E SUB,,
Q980,SINDROME DE KLINEFELTER, CARIOTIPO 47, XXY                                                          ,,
Q981,SINDROME DE KLINEFELTER, HOMEM COM MAIS DE DOIS CROMOSSOMOS X                                       ,,
Q982,SINDROME DE KLINEFELTER, HOMEM COM CARIOTIPO 46, XX                                                 ,,
Q983,OUTRO HOMEM COM CARIOTIPO 46, XX                                                                    ,,
Q984,SINDROME DE KLINEFELTER NAO ESPECIFICADA                                                            ,,
Y108,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y109,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANALGESICOS, ANTIPIRETICOS E ANTI-REUMATICOS NAO-OPIAC,,
Y11,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y110,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y111,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y112,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y113,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y114,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y115,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y116,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y117,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y118,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y119,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A ANTICONVULSIVANTES [ANTIEPILEPTICOS], SEDATIVOS, HIPNO,,
Y12,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLA,,
Y120,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLA,,
Y121,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLA,,
Y122,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLA,,
Y123,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLA,,
Y124,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLA,,
Y125,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLA,,
Y126,ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLA,,
Z87,HISTORIA PESSOAL DE OUTRAS DOENCAS E AFECCOES E SUBTÍTULOS                                          ,,
Z870,HISTORIA PESSOAL DE DOENCAS DO APARELHO RESPIRATORIO                                                ,,
Z871,HISTORIA PESSOAL DE DOENCAS DO APARELHO DIGESTIVO                                                   ,,
Z872,HISTORIA PESSOAL DE DOENCAS DA PELE E TECIDO SUBCUTANEO                                             ,,
Z873,HISTORIA PESSOAL DE DOENCAS DO SISTEMA OSTEOMUSCULAR E TECIDO CONJUNTIVO                            ,,
Z874,HISTORIA PESSOAL DE DOENCAS DO APARELHO GENITURINARIO                                               ,,
Z875,HISTORIA PESSOAL DE COMPLICACOES DA GRAVIDEZ, PARTO E PUERPERIO                                     ,,
